,ADMrate,Ownership,Citytype,SAT,AvgCost,Major_agriculture,Major_NatureResource,Major_Architecture,Major_CS,Major_Edu,Major_Engineering,Major_Bio,Major_MathStat,Major_Psychology,Major_SocialScience,Major_Business,Major_History,Earn,CrimeRate,ACT,Enrollment,FBI.TotalCrime,FBI.CrimeRate,Application.Deadline
45,0.3072,Private nonprofit,Town,1317,61060,0,1,0,1,1,1,1,1,1,1,1,1,63800,314.1,30,3528,176,5.47,15-Jan-19
8,0.2391,Private nonprofit,City,,62849,0,1,0,1,0,0,1,1,1,1,0,1,46500,236.9,,2907,1580,3.37,1-Jan-19
55,0.1425,Private nonprofit,Suburb,1500,63860,0,0,0,1,0,1,1,1,1,1,0,0,82100,396.1,34,802,10598,6.86,1-Jan-19
209,0.3806,Public,City,1130,14824,0,1,1,1,1,1,1,1,1,1,1,1,42200,381.8,,12175,359896,4.21,1-Feb-19
40,0.3224,Public,City,1380,26143,0,1,1,1,1,1,1,1,1,1,1,1,65800,427.3,31,28217,5184,4.37,1-Feb-19
225,0.4378,Private nonprofit,Suburb,1346,59384,0,0,0,1,0,1,1,1,0,1,1,0,73900,261.2,31,2842,2104,3.89,1-Feb-19
220,0.3448,Public,City,1115,20631,0,1,0,1,1,1,1,1,1,1,1,1,46400,396.1,25,27824,69480,4.96,30-Nov-18
51,0.2975,Private nonprofit,Suburb,1300,59750,0,1,0,1,0,1,1,1,1,1,0,1,64900,314.1,29,2471,1180,4.35,15-Jan-19
213,0.6654,Private nonprofit,City,1097,48454,0,0,0,1,1,1,1,1,1,1,1,1,57800,381.8,25,3471,359896,4.21,15-Apr-19
122,0.5909,Private nonprofit,Town,1229,53500,0,0,0,1,1,0,1,1,1,1,0,1,43300,284.9,28,2029,1714,6.43,15-Feb-19
115,0.4037,Public,Suburb,1226,32638,1,1,1,1,1,1,1,1,1,1,1,1,53700,396.1,28,27547,3626,5.41,30-Nov-18
201,0.6108,Private nonprofit,City,1239,52310,0,1,0,1,1,1,1,1,1,1,2,1,53700,442.9,28,7822,51580,16.27,1-Dec-18
60,0.3873,Private nonprofit,City,1383,59595,0,1,0,0,0,0,1,1,1,1,0,1,36000,232.3,31,1335,14408,8.82,15-Jan-19
12,0.2114,Private nonprofit,Suburb,1450,60117,0,1,1,1,1,1,1,1,1,1,1,1,78700,365.3,33,8427,12260,12.11,1-Jan-19
64,0.5694,Public,City,1286,23839,1,1,1,1,1,1,1,1,1,1,1,1,57600,290.3,29,29302,15596,6.27,1-Feb-19
152,0.444,Public,Town,1162,25642,0,0,0,1,0,1,1,1,1,1,0,1,53900,196.2,26,1700,136,1.85,1-Feb-19
256,0.7508,Private nonprofit,Suburb,,52507,0,1,0,1,0,0,1,1,1,1,1,1,60300,219.2,,3302,494,2.29,1-Feb-19
177,0.5963,Private nonprofit,City,,57775,0,0,0,1,1,1,1,1,1,1,1,1,61700,446.1,,4062,80966,13.03,15-Jan-19
15,0.115,Private nonprofit,Town,1444,63279,0,1,0,1,0,1,1,1,1,1,0,1,85300,196.1,32,4184,264,2.31,1-Jan-19
7,0.0874,Private nonprofit,City,1435,60460,0,1,0,1,1,1,1,1,1,1,1,1,68500,219.2,32,6264,14204,7.91,1-Jan-19
85,0.1506,Private nonprofit,City,1388,57429,0,0,1,0,0,1,0,0,0,0,0,0,53600,381.8,32,852,359896,4.21,1-Jan-19
78,0.284,Private nonprofit,Suburb,1360,61370,0,1,0,1,0,1,1,1,1,1,1,1,43300,396.1,31,962,10598,6.86,1-Jan-19
83,0.6965,Private nonprofit,City,1239,50800,0,0,0,1,0,0,1,1,1,1,1,1,43500,427.3,28,1431,7094,9.29,15-Jan-19
129,0.3647,Public,Suburb,1333,30154,0,0,0,1,0,1,0,1,0,1,0,0,80900,309.1,30,4383,900,4.4,1-Apr-19
194,0.4625,Private nonprofit,City,1243,57593,0,1,1,1,0,1,1,1,1,1,1,1,60400,396.1,28,5656,69480,4.96,15-Dec-18
88,0.5572,Public,City,1248,21981,1,1,1,1,1,1,1,1,1,1,1,1,48500,377.3,28,26738,9517,7.87,15-Jan-19
141,0.6998,Private nonprofit,Town,1128,46660,0,0,0,0,0,0,1,1,1,1,0,1,51300,365.3,25,923,7564,10.64,15-Jan-19
155,0.4378,Private nonprofit,City,,57637,0,0,0,1,0,1,1,1,1,1,1,0,72900,391.4,,4123,14004,7.64,1-Feb-19
84,0.566,Private nonprofit,Town,1213,53410,0,1,0,1,1,0,1,1,1,1,0,1,51900,365.3,27,2185,105002,12.16,1-Feb-19
246,0.7017,Private nonprofit,Suburb,1118,58700,0,1,0,1,0,0,1,1,1,1,1,1,45800,261.2,25,1356,142,0.88,15-Feb-19
101,0.3831,Private nonprofit,City,1375,57405,0,1,1,1,1,1,1,1,1,1,1,1,74200,284.9,31,4807,2244,4.99,15-Jan-19
242,0.5829,Public,City,1128,30174,0,1,0,1,0,1,1,1,1,1,1,1,43500,396.1,25,18784,23944,7.41,30-Nov-18
97,0.5128,Private nonprofit,Town,1292,51860,0,1,0,1,1,0,1,1,1,1,0,1,45100,229.1,29,2990,480,2.35,15-Jan-19
186,0.7314,Public,City,1191,18574,0,1,0,1,0,1,1,1,1,1,1,1,32200,329.5,26,3425,9619,10.81,15-Feb-19
255,0.8291,Private nonprofit,Suburb,1116,46851,0,1,0,1,1,1,1,1,1,1,1,1,48300,284.9,25,3069,607,4.62,1-Feb-19
211,0.6005,Private nonprofit,City,1152,58039,0,1,1,1,0,0,1,1,1,2,1,1,62200,396.1,26,6745,119458,13.83,15-Jan-19
114,0.4584,Private nonprofit,City,1252,56620,0,1,0,1,1,0,1,1,1,1,1,1,55200,1244.4,28,7094,76886,11.44,15-Jan-19
46,0.2635,Private nonprofit,Rural,1393,59590,0,1,0,1,0,0,1,1,1,1,0,1,57900,381.8,32,1890,5090,8.33,1-Jan-19
